Sl No,District/City,Total Complaints,2019,data_source
1,Ariyalur,1573.0,1573.0,scrb_ncrb
2,Chennai,18108.0,18108.0,scrb_ncrb
3,Coimbatore,4261.0,4261.0,scrb_ncrb
4,Coimbatore City,2567.0,2567.0,scrb_ncrb
5,Cuddalore,6035.0,6035.0,scrb_ncrb
6,Dharmapuri,2578.0,2578.0,scrb_ncrb
7,Dindigul,4986.0,4986.0,scrb_ncrb
8,Erode,4230.0,4230.0,scrb_ncrb
9,Kanchipuram,7213.0,7213.0,scrb_ncrb
10,Kanyakumari,4854.0,4854.0,scrb_ncrb
11,Karur,1986.0,1986.0,scrb_ncrb
12,Krishnagiri,3750.0,3750.0,scrb_ncrb
13,Madurai,4375.0,4375.0,scrb_ncrb
14,Madurai City,3653.0,3653.0,scrb_ncrb
15,Nagapattinam,3932.0,3932.0,scrb_ncrb
16,Namakkal,3258.0,3258.0,scrb_ncrb
17,Nilgiris,795.0,795.0,scrb_ncrb
18,Perambalur,1110.0,1110.0,scrb_ncrb
19,Pudukottai,3088.0,3088.0,scrb_ncrb
20,Ramnathapuram,3332.0,3332.0,scrb_ncrb
21,Railway Chennai,4209.0,4209.0,scrb_ncrb
22,Railway Trichy,619.0,619.0,scrb_ncrb
23,Salem,4528.0,4528.0,scrb_ncrb
24,Salem City,2415.0,2415.0,scrb_ncrb
25,Sivagangai,3934.0,3934.0,scrb_ncrb
26,Thanjavur,5746.0,5746.0,scrb_ncrb
27,Theni,3424.0,3424.0,scrb_ncrb
28,Thirunelveli,9252.0,9252.0,scrb_ncrb
29,Thirunelveli City,1171.0,1171.0,scrb_ncrb
30,Thiruvallur,3927.0,3927.0,scrb_ncrb
31,Thiruvannamalai,4476.0,4476.0,scrb_ncrb
32,Thiruvarur,3022.0,3022.0,scrb_ncrb
33,Thoothukudi,4503.0,4503.0,scrb_ncrb
34,Tiruppur,3757.0,3757.0,scrb_ncrb
35,Tiruppur City,1735.0,1735.0,scrb_ncrb
36,Trichy,3870.0,3870.0,scrb_ncrb
37,Trichy City,2387.0,2387.0,scrb_ncrb
38,Vellore,7820.0,7820.0,scrb_ncrb
39,Villupuram,7701.0,7701.0,scrb_ncrb
40,Virudhunagar,3931.0,3931.0,scrb_ncrb
41,Cyber Cell,5.0,5.0,scrb_ncrb
42,Other Units,0.0,0.0,scrb_ncrb
43,Chengalpattu,,,scrb_ncrb
44,Kallakurichi,,,scrb_ncrb
45,Ranipet,,,scrb_ncrb
46,Tiruppattur,,,scrb_ncrb
47,Tenkasi,,,scrb_ncrb
