year,district_city,area_type,total_complaints_2020,total_complaints_2021,total_complaints,share_in_percentage_2022,projected_population_lakhs,rate_of_cognizable_crime_ipc_sll,total_oral_complaints,oral_narrated_to_oc_sho,oral_distress_call_over_phone_dial_100,total_written_complaints_to_police,written_to_oc_sho,written_to_sp_senior_officers,written_electronic_form,written_complaint_to_courts,written_nhrc_and_shrc,written_scs_commissions,written_sts_commissions,written_ncw_scw,written_child_welfare_boards_commissions,suo_moto_police_complaints,other_written_complaints
2022,Thiruvarur,district,44080,16597,9222,1.9,13.4,686.1,,,,,,,,,,,,,,,
2022,Thoothukudi,district,20131,16898,12444,2.6,18.6,668.7,,,,,,,,,,,,,,,
2022,Tiruppattur,district,16034,7844,4880,1.0,12.6,388.8,,,,,,,,,,,,,,,
2022,Tiruppur,district,34050,20901,10795,2.3,21.6,499.0,,,,,,,,,,,,,,,
2022,Trichy,district,32903,16033,9565,2.0,19.9,479.8,,,,,,,,,,,,,,,
2022,Vellore,district,26065,9145,6706,1.4,16.5,405.3,,,,,,,,,,,,,,,
2022,Villupuram,district,52606,15501,11790,2.5,22.0,536.8,,,,,,,,,,,,,,,
2022,Virudhunagar,district,24029,12976,11266,2.4,20.7,545.6,,,,,,,,,,,,,,,
2022,Cyber Cell,special_unit,6,14,3,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022,Other Units,special_unit,620,517,515,0.1,0.0,0.0,,,,,,,,,,,,,,,
2022,Railway Chennai,special_unit,1263,1291,2266,0.5,0.0,0.0,,,,,,,,,,,,,,,
2022,Railway Trichy,special_unit,157,204,1179,0.2,0.0,0.0,,,,,,,,,,,,,,,
2023,Avadi,city,,,104623,,,,42258.0,0.0,42258.0,62365.0,6053.0,6123.0,7360.0,0.0,0.0,0.0,0.0,0.0,8.0,9808.0,33013.0
2023,Chennai,city,,,319666,,,,173292.0,0.0,173292.0,146374.0,17282.0,1555.0,37678.0,210.0,9.0,0.0,0.0,1.0,6.0,18180.0,71453.0
2023,Coimbatore City,city,,,74352,,,,32157.0,0.0,32157.0,42195.0,5020.0,2564.0,9413.0,14.0,0.0,0.0,0.0,0.0,0.0,3447.0,21737.0
2023,Madurai City,city,,,71880,,,,27423.0,0.0,27423.0,44457.0,3072.0,4166.0,4696.0,102.0,0.0,0.0,0.0,0.0,0.0,10284.0,22137.0
2023,Salem City,city,,,37273,,,,1632.0,0.0,1632.0,35641.0,7852.0,2438.0,3762.0,8.0,0.0,0.0,0.0,0.0,0.0,5861.0,15720.0
2023,Tambaram,city,,,106672,,,,49701.0,0.0,49701.0,56971.0,6249.0,4476.0,6870.0,0.0,0.0,0.0,0.0,0.0,0.0,6155.0,33221.0
2023,Thirunelveli City,city,,,22966,,,,7459.0,0.0,7459.0,15507.0,2231.0,2569.0,1453.0,55.0,22.0,0.0,0.0,0.0,0.0,4410.0,4767.0
2023,Tiruppur City,city,,,29600,,,,11273.0,0.0,11273.0,18327.0,3097.0,118.0,2545.0,11.0,15.0,7.0,0.0,14.0,0.0,4832.0,7688.0
2023,Trichy City,city,,,41759,,,,15039.0,0.0,15039.0,26720.0,3999.0,1258.0,1470.0,53.0,37.0,0.0,0.0,0.0,6.0,9000.0,10897.0
2023,Ariyalur,district,,,34462,,,,10199.0,0.0,10199.0,24263.0,1641.0,3803.0,1425.0,16.0,26.0,18.0,0.0,11.0,0.0,2114.0,15209.0
2023,Chengalpattu,district,,,46320,,,,5687.0,0.0,5687.0,40633.0,5241.0,2887.0,3487.0,0.0,0.0,0.0,0.0,0.0,0.0,7071.0,21947.0
2023,Coimbatore,district,,,65803,,,,29497.0,0.0,29497.0,36306.0,4725.0,149.0,4591.0,17.0,0.0,0.0,0.0,0.0,0.0,8772.0,18052.0
2023,Cuddalore,district,,,35616,,,,9850.0,0.0,9850.0,25766.0,9850.0,560.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,10405.0,4800.0
2023,Dharmapuri,district,,,46222,,,,10370.0,0.0,10370.0,35852.0,8513.0,525.0,2965.0,18.0,0.0,0.0,0.0,0.0,0.0,5180.0,18651.0
2023,Dindigul,district,,,110170,,,,22491.0,0.0,22491.0,87679.0,31522.0,10744.0,6067.0,27.0,46.0,33.0,3.0,76.0,2.0,5932.0,33227.0
2023,Erode,district,,,41192,,,,13644.0,0.0,13644.0,27548.0,4112.0,3647.0,1723.0,3.0,0.0,0.0,0.0,0.0,0.0,5803.0,12260.0
2023,Kallakurichi,district,,,44994,,,,9346.0,0.0,9346.0,35648.0,3747.0,3493.0,2756.0,8.0,26.0,14.0,0.0,30.0,3.0,7247.0,18324.0
2023,Kanchipuram,district,,,46626,,,,5678.0,0.0,5678.0,40948.0,7416.0,2064.0,6121.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.0,20974.0
2023,Kanyakumari,district,,,87270,,,,13748.0,0.0,13748.0,73522.0,13748.0,15883.0,8425.0,223.0,51.0,0.0,0.0,0.0,0.0,2203.0,32989.0
2023,Karur,district,,,31625,,,,7580.0,0.0,7580.0,24045.0,2832.0,455.0,2092.0,3.0,67.0,0.0,0.0,0.0,20.0,4984.0,13592.0
2023,Krishnagiri,district,,,51029,,,,10605.0,0.0,10605.0,40424.0,5452.0,3330.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,8940.0,12002.0
2023,Madurai,district,,,72267,,,,19129.0,0.0,19129.0,53138.0,6678.0,5838.0,8012.0,34.0,32.0,2.0,0.0,2.0,38.0,5174.0,27328.0
2023,Mayiladuthurai,district,,,38216,,,,3115.0,0.0,3115.0,35101.0,11474.0,2845.0,3087.0,14.0,9.0,12.0,0.0,12.0,6.0,4337.0,13305.0
2023,Nagapattinam,district,,,22462,,,,3671.0,0.0,3671.0,18791.0,1193.0,1992.0,1494.0,9.0,0.0,0.0,0.0,0.0,0.0,4583.0,9520.0
2023,Namakkal,district,,,35435,,,,11066.0,0.0,11066.0,24369.0,3386.0,3375.0,3993.0,3.0,92.0,0.0,0.0,0.0,0.0,4962.0,8558.0
2023,Nilgiris,district,,,17148,,,,4587.0,0.0,4587.0,12561.0,954.0,1197.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,3499.0,5899.0
2023,Perambalur,district,,,12216,,,,1040.0,0.0,1040.0,11176.0,1812.0,156.0,1141.0,7.0,20.0,0.0,0.0,0.0,30.0,2337.0,5673.0
2023,Pudukottai,district,,,43911,,,,9483.0,0.0,9483.0,34428.0,5989.0,115.0,2991.0,15.0,19.0,0.0,0.0,0.0,0.0,4348.0,20951.0
2023,Ramnathapuram,district,,,54296,,,,14666.0,0.0,14666.0,39630.0,5851.0,8916.0,475.0,17.0,41.0,25.0,0.0,40.0,0.0,5199.0,19066.0
2023,Ranipet,district,,,26462,,,,1593.0,0.0,1593.0,24869.0,4462.0,1814.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,3153.0,12315.0
2023,Salem,district,,,49091,,,,12813.0,0.0,12813.0,36278.0,6782.0,1780.0,3980.0,12.0,0.0,0.0,0.0,0.0,0.0,9481.0,14243.0
2023,Sivagangai,district,,,36371,,,,6150.0,0.0,6150.0,30221.0,7815.0,3870.0,568.0,45.0,39.0,27.0,0.0,40.0,0.0,3570.0,14247.0
