year,district_city,area_type,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,murder_homicide_murder_incidents,complaints_total_complaints_2020,complaints_total_complaints_2021,complaints_total_complaints,complaints_share_in_percentage_2022,complaints_projected_population_lakhs,complaints_rate_of_cognizable_crime_ipc_sll,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints_written,complaints_total_complaints_oral,complaints_total_complaints_others,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio,year_centered,is_latest_year,population_lakhs,log_population,selected_crime_rate_sum,sentiment_avg_sentiment_polarity,sentiment_avg_sentiment_confidence,sentiment_avg_crime_intensity,sentiment_negative_sentiment_share,news_count,news_avg_news_polarity,news_negative_news_share,news_avg_news_crime_intensity
2022,Chengalpattu,district,3.0,3.0,0.2,3.0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.7,0.0,0.0,0.0,32.0,32.0,1.3,1.0,1.0,0.0,404.0,460.0,16.7,,46737,14855,7754,1.6,24.2,319.9,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,24.2,3.2268439945173775,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Coimbatore,district,21.0,21.0,1.6,21.0,21.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,39.0,39.0,1.5,6.0,6.0,0.2,794.0,827.0,31.0,,33399,22300,15039,3.2,25.6,587.6,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,25.6,3.2809112157876537,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Cuddalore,district,37.0,37.0,2.7,0.0,0.0,0.0,37.0,37.0,2.7,10.0,10.0,0.7,8.0,8.0,0.6,0.0,0.0,0.0,19.0,19.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,1.9,0.0,0.0,0.0,43.0,43.0,1.6,0.0,0.0,0.0,459.0,459.0,16.6,,53052,32623,26361,5.6,27.7,951.4,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,27.7,3.3568971227655755,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Dharmapuri,district,27.0,27.0,3.4,18.0,18.0,2.2,7.0,7.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.9,1.0,1.0,0.1,0.0,0.0,0.0,1.0,1.0,0.1,7.0,7.0,0.9,0.0,0.0,0.0,33.0,34.0,2.1,1.0,1.0,0.1,380.0,393.0,23.7,,29478,12530,9110,1.9,16.0,568.6,,,,,,,,,,,,,,,,,,,,,1.0303030303030303,1.0,-0.5,0,16.0,2.833213344056216,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Dindigul,district,40.0,40.0,3.5,23.0,23.0,2.0,10.0,10.0,0.9,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.8,2.0,2.0,0.2,4.0,4.0,0.3,1.0,1.0,0.1,6.0,6.0,0.5,0.0,0.0,0.0,71.0,74.0,3.1,5.0,5.0,0.2,639.0,889.0,27.8,,44219,22610,11470,2.4,23.0,499.5,,,,,,,,,,,,,,,,,,,,,1.0422535211267605,1.0,-0.5,0,23.0,3.1780538303479458,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Erode,district,28.0,28.0,2.3,28.0,28.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.5,0.0,0.0,0.0,25.0,38.0,1.0,3.0,3.0,0.1,635.0,638.0,26.5,,22377,11670,10450,2.2,23.9,436.5,,,,,,,,,,,,,,,,,,,,,1.52,1.0,-0.5,0,23.9,3.214867803470662,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kallakurichi,district,38.0,38.0,5.1,38.0,38.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.1,0.0,0.0,0.0,24.0,24.0,1.6,3.0,3.0,0.2,271.0,284.0,18.3,,29269,12436,6582,1.4,14.8,444.3,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,14.8,2.760009940032921,12.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kanchipuram,district,2.0,2.0,0.4,2.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.6,0.0,0.0,0.0,18.0,19.0,1.9,0.0,0.0,0.0,289.0,303.0,29.9,,23308,12325,4786,1.0,9.7,495.0,,,,,,,,,,,,,,,,,,,,,1.0555555555555556,1.0,-0.5,0,9.7,2.3702437414678603,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kanyakumari,district,40.0,40.0,4.0,40.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.4,0.0,0.0,0.0,36.0,38.0,1.8,6.0,6.0,0.3,284.0,340.0,14.3,,17373,14271,9110,1.9,19.9,458.1,,,,,,,,,,,,,,,,,,,,,1.0555555555555556,1.0,-0.5,0,19.9,3.039749158970765,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Karur,district,8.0,8.0,1.4,5.0,5.0,0.9,2.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,0.0,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,5.0,5.0,0.9,2.0,2.0,0.4,14.0,14.0,1.2,0.0,0.0,0.0,376.0,386.0,33.2,,12051,11934,7035,1.5,11.3,621.6,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,11.3,2.509599262378372,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
