year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate,murder_incidents
2023,Kanchipuram,district,36.0,36,3.7,0.0,0.0,0.0,295.0,303.0,30.4,
2023,Kanyakumari,district,31.0,32,1.6,10.0,12.0,0.5,328.0,354.0,16.4,
2023,Karur,district,18.0,19,1.6,1.0,1.0,0.1,350.0,360.0,30.8,
2023,Krishnagiri,district,59.0,63,2.9,1.0,1.0,0.0,724.0,817.0,36.1,
2023,Madurai,district,63.0,64,2.9,3.0,3.0,0.1,575.0,575.0,26.7,
2023,Mayiladuthurai,district,10.0,11,1.0,5.0,5.0,0.5,150.0,154.0,15.4,
2023,Nagapattinam,district,15.0,15,2.0,3.0,3.0,0.4,128.0,187.0,17.1,
2023,Namakkal,district,35.0,36,1.9,0.0,0.0,0.0,556.0,641.0,30.2,
2023,Nilgiris,district,10.0,11,1.3,1.0,1.0,0.1,61.0,61.0,7.8,
2023,Perambalur,district,12.0,13,2.0,0.0,0.0,0.0,171.0,207.0,28.4,
2023,Pudukottai,district,29.0,29,1.7,3.0,3.0,0.2,423.0,423.0,24.5,
2023,Ramnathapuram,district,36.0,36,2.5,4.0,4.0,0.3,402.0,423.0,27.9,
2023,Ranipet,district,22.0,26,1.7,1.0,1.0,0.1,263.0,281.0,20.6,
2023,Salem,district,46.0,46,1.6,5.0,5.0,0.2,538.0,573.0,19.0,
2023,Sivagangai,district,42.0,46,2.9,1.0,1.0,0.1,381.0,440.0,26.7,
2023,Tenkasi,district,39.0,43,2.6,3.0,3.0,0.2,238.0,258.0,15.6,
2023,Thanjavur,district,51.0,51,2.0,4.0,4.0,0.2,587.0,607.0,22.9,
2023,Theni,district,46.0,46,3.5,6.0,6.0,0.5,322.0,335.0,24.2,
2023,Thirunelveli,district,47.0,47,3.7,2.0,2.0,0.2,302.0,318.0,24.0,
2023,Thiruvallur,district,30.0,30,1.2,7.0,7.0,0.3,297.0,312.0,11.8,
2023,Thiruvannamalai,district,35.0,35,1.3,7.0,7.0,0.3,648.0,742.0,24.7,
2023,Thiruvarur,district,18.0,18,1.3,4.0,4.0,0.3,220.0,226.0,16.3,
2023,Thoothukudi,district,74.0,75,4.0,7.0,10.0,0.4,469.0,496.0,25.1,
2023,Tiruppattur,district,19.0,19,1.5,4.0,21.0,0.3,200.0,239.0,15.9,
2023,Tiruppur,district,31.0,31,1.4,1.0,1.0,0.0,716.0,719.0,33.0,
2023,Trichy,district,45.0,46,2.3,1.0,1.0,0.1,528.0,555.0,26.4,
2023,Vellore,district,24.0,24,1.4,13.0,13.0,0.8,312.0,313.0,18.8,
2023,Villupuram,district,35.0,38,1.6,7.0,7.0,0.3,519.0,548.0,23.6,
2023,Virudhunagar,district,61.0,70,2.9,0.0,0.0,0.0,467.0,543.0,22.5,
2023,Cyber Cell,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2023,Other Units,special_unit,0.0,0,,0.0,0.0,,0.0,0.0,,
2023,Railway Chennai,special_unit,8.0,8,,0.0,0.0,,1.0,1.0,,
2023,Railway Trichy,special_unit,1.0,1,,1.0,1.0,,0.0,0.0,,
2024,Avadi,city,31.0,36,13.6,1.0,1.0,0.2,254.0,261.0,109.8,
2024,Chennai,city,,29,1.0,,,,,,,28.0
2024,Coimbatore City,city,41.0,43,2.0,2.0,2.0,0.1,585.0,598.0,28.2,
2024,Madurai City,city,61.0,63,3.4,0.0,0.0,0.0,438.0,465.0,24.4,
2024,Salem City,city,22.0,22,2.9,0.0,0.0,0.0,185.0,186.0,24.5,
2024,Tambaram,city,28.0,28,6.3,2.0,2.0,0.4,282.0,282.0,64.2,
2024,Thirunelveli City,city,9.0,9,3.4,0.0,0.0,0.0,53.0,53.0,19.2,
2024,Tiruppur City,city,13.0,13,5.1,0.0,0.0,0.0,85.0,87.0,32.7,
2024,Trichy City,city,10.0,10,2.1,0.0,0.0,0.0,88.0,93.0,17.7,
2024,Ariyalur,district,,2,0.5,,,,,,,2.0
2024,Chengalpattu,district,17.0,18,1.3,4.0,5.0,0.3,216.0,233.0,16.1,
2024,Coimbatore,district,,9,0.7,,,,,,,9.0
2024,Cuddalore,district,29.0,29,1.9,1.0,1.0,0.1,298.0,319.0,19.5,
2024,Dharmapuri,district,13.0,13,1.4,2.0,2.0,0.2,194.0,194.0,21.9,
2024,Dindigul,district,34.0,35,2.7,5.0,5.0,0.4,402.0,402.0,31.7,
2024,Erode,district,20.0,21,1.5,2.0,2.0,0.1,362.0,378.0,27.4,
2024,Kallakurichi,district,13.0,15,1.5,2.0,2.0,0.2,157.0,171.0,19.2,
2024,Kanchipuram,district,31.0,31,3.7,0.0,0.0,0.0,251.0,258.0,30.4,
2024,Kanyakumari,district,17.0,18,1.6,6.0,7.0,0.5,180.0,195.0,16.4,
2024,Karur,district,10.0,10,1.6,1.0,1.0,0.1,193.0,198.0,30.8,
2024,Krishnagiri,district,32.0,35,2.9,1.0,1.0,0.0,398.0,449.0,36.1,
2024,Madurai,district,,11,1.3,,,,,,,11.0
2024,Mayiladuthurai,district,6.0,6,1.0,3.0,3.0,0.5,82.0,85.0,15.4,
2024,Nagapattinam,district,8.0,8,2.0,2.0,2.0,0.4,70.0,103.0,17.1,
2024,Namakkal,district,,3,0.8,,,,,,,3.0
2024,Nilgiris,district,6.0,6,1.3,1.0,1.0,0.1,34.0,34.0,7.8,
2024,Perambalur,district,7.0,7,2.0,0.0,0.0,0.0,94.0,114.0,28.4,
2024,Pudukottai,district,16.0,16,1.7,2.0,2.0,0.2,233.0,233.0,24.5,
2024,Ramnathapuram,district,20.0,20,2.5,2.0,2.0,0.3,221.0,233.0,27.9,
2024,Ranipet,district,12.0,14,1.7,1.0,1.0,0.1,145.0,155.0,20.6,
2024,Salem,district,,7,0.9,,,,,,,7.0
2024,Sivagangai,district,23.0,25,2.9,1.0,1.0,0.1,210.0,242.0,26.7,
2024,Tenkasi,district,21.0,24,2.6,2.0,2.0,0.2,131.0,142.0,15.6,
2024,Thanjavur,district,28.0,28,2.0,2.0,2.0,0.2,323.0,334.0,22.9,
2024,Theni,district,25.0,25,3.5,3.0,3.0,0.5,177.0,184.0,24.2,
