year,district_city,area_type,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio
2023,Chengalpattu,district,5687,0,5687,40633,5241,2887,3487,0,0,0,0,0,0,7071,21947,46320,15,15,1.2,15,15,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0,31,33,1.3,8,9,0.3,392,423,16.1,0.12277633851468048,0.8772236614853195,1.064516129032258,1.0
2023,Coimbatore,district,29497,0,29497,36306,4725,149,4591,17,0,0,0,0,0,8772,18052,65803,13,13,1.0,13,13,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0,52,52,2.0,7,7,0.3,783,811,30.5,0.44826223728401443,0.5517377627159856,1.0,1.0
2023,Cuddalore,district,9850,0,9850,25766,9850,560,151,0,0,0,0,0,0,10405,4800,35616,50,50,3.6,6,6,0.4,12,12,0.9,0,0,0.0,12,12,0.9,0,0,0.0,0,0,0.0,12,12,0.9,10,10,0.7,10,10,0.7,13,13,0.9,0,0,0.0,52,53,1.9,2,2,0.1,541,580,19.5,0.2765610961365678,0.7234389038634321,1.0192307692307692,1.0
2023,Dharmapuri,district,10370,0,10370,35852,8513,525,2965,18,0,0,0,0,0,5180,18651,46222,26,26,3.2,16,16,2.0,6,6,0.7,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.7,2,2,0.2,0,0,0.0,2,2,0.2,10,10,1.2,1,1,0.1,23,24,1.4,3,3,0.2,352,352,21.9,0.2243520401540392,0.7756479598459608,1.0434782608695652,1.0
2023,Dindigul,district,22491,0,22491,87679,31522,10744,6067,27,46,33,3,76,2,5932,33227,110170,33,33,2.9,11,11,1.0,21,21,1.8,0,0,0.0,0,0,0.0,0,0,0.0,21,21,1.8,0,0,0.0,1,1,0.1,0,0,0.0,9,9,0.8,0,0,0.0,62,64,2.7,9,9,0.4,731,731,31.7,0.20414813470091678,0.7958518652990832,1.032258064516129,1.0
2023,Erode,district,13644,0,13644,27548,4112,3647,1723,3,0,0,0,0,0,5803,12260,41192,22,22,1.8,22,22,1.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.2,0,0,0.0,37,39,1.5,3,3,0.1,659,688,27.4,0.3312293649252282,0.6687706350747717,1.054054054054054,1.0
2023,Kallakurichi,district,9346,0,9346,35648,3747,3493,2756,8,26,14,0,30,3,7247,18324,44994,104,104,14.0,100,100,13.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,2,2,0.3,10,10,1.3,0,0,0.0,23,27,1.5,3,3,0.2,286,311,19.2,0.20771658443348,0.7922834155665199,1.173913043478261,1.0
2023,Kanchipuram,district,5678,0,5678,40948,7416,2064,6121,0,0,0,0,0,0,4373,20974,46626,9,9,1.9,2,2,0.4,7,7,1.4,0,0,0.0,0,0,0.0,0,0,0.0,7,7,1.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,1.0,1,1,0.2,36,36,3.7,0,0,0.0,295,303,30.4,0.12177754900699181,0.8782224509930082,1.0,1.0
2023,Kanyakumari,district,13748,0,13748,73522,13748,15883,8425,223,51,0,0,0,0,2203,32989,87270,11,11,1.1,11,11,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0,31,32,1.6,10,12,0.5,328,354,16.4,0.15753408960696688,0.8424659103930331,1.032258064516129,1.0
2023,Karur,district,7580,0,7580,24045,2832,455,2092,3,67,0,0,0,20,4984,13592,31625,3,3,0.5,3,3,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.9,1,1,0.2,18,19,1.6,1,1,0.1,350,360,30.8,0.23968379446640317,0.7603162055335968,1.0555555555555556,1.0
2023,Krishnagiri,district,10605,0,10605,40424,5452,3330,10700,0,0,0,0,0,0,8940,12002,51029,29,29,2.9,24,24,2.4,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,2,2,0.2,59,63,2.9,1,1,0.0,724,817,36.1,0.20782300260636108,0.7921769973936389,1.0677966101694916,1.0
2023,Madurai,district,19129,0,19129,53138,6678,5838,8012,34,32,2,0,2,38,5174,27328,72267,51,51,4.7,39,39,3.6,8,8,0.7,1,1,0.1,0,0,0.0,0,0,0.0,7,7,0.6,1,1,0.1,3,3,0.3,0,0,0.0,14,14,1.3,5,5,0.5,63,64,2.9,3,3,0.1,575,575,26.7,0.2646989635656662,0.7353010364343338,1.0158730158730158,1.0
2023,Mayiladuthurai,district,3115,0,3115,35101,11474,2845,3087,14,9,12,0,12,6,4337,13305,38216,69,69,14.1,58,58,11.9,6,6,1.2,0,0,0.0,0,0,0.0,0,0,0.0,6,6,1.2,3,3,0.6,0,0,0.0,2,2,0.4,3,3,0.6,2,2,0.4,10,11,1.0,5,5,0.5,150,154,15.4,0.08151036215197822,0.9184896378480217,1.1,1.0
2023,Nagapattinam,district,3671,0,3671,18791,1193,1992,1494,9,0,0,0,0,0,4583,9520,22462,22,22,5.9,15,15,4.0,4,4,1.1,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.1,1,1,0.3,0,0,0.0,2,2,0.5,7,7,1.9,3,3,0.8,15,15,2.0,3,3,0.4,128,187,17.1,0.16343157332383582,0.8365684266761642,1.0,1.0
