year,district_city,area_type,total_oral_complaints,oral_narrated_to_oc_sho,oral_distress_call_over_phone_dial_100,total_written_complaints_to_police,written_to_oc_sho,written_to_sp_senior_officers,written_electronic_form,written_complaint_to_courts,written_nhrc_and_shrc,written_scs_commissions,written_sts_commissions,written_ncw_scw,written_child_welfare_boards_commissions,suo_moto_police_complaints,other_written_complaints,total_complaints
2026,Avadi,city,23242,0,23242,34301,3329,3368,4048,0,0,0,0,0,4,5394,18157,57543
2026,Chennai,city,320590,0,320590,270792,31972,2877,69704,388,17,0,0,2,11,33633,132188,591382
2026,Coimbatore City,city,59490,0,59490,78061,9287,4743,17414,26,0,0,0,0,0,6377,40213,137551
2026,Madurai City,city,33687,0,33687,54611,3774,5118,5769,125,0,0,0,0,0,12633,27193,88298
2026,Salem City,city,906,0,906,19782,4358,1353,2088,4,0,0,0,0,0,3253,8725,20688
2026,Tambaram,city,27336,0,27336,31334,3437,2462,3779,0,0,0,0,0,0,3385,18272,58670
2026,Thirunelveli City,city,4102,0,4102,8529,1227,1413,799,30,12,0,0,0,0,2426,2622,12631
2026,Tiruppur City,city,6200,0,6200,10080,1703,65,1400,6,8,4,0,8,0,2658,4228,16280
2026,Trichy City,city,8271,0,8271,14696,2199,692,809,29,20,0,0,0,3,4950,5993,22967
2026,Ariyalur,district,5609,0,5609,13345,903,2092,784,9,14,10,0,6,0,1163,8365,18954
2026,Chengalpattu,district,3128,0,3128,22348,2883,1588,1918,0,0,0,0,0,0,3889,12071,25476
2026,Coimbatore,district,54569,0,54569,67166,8741,276,8493,31,0,0,0,0,0,16228,33396,121736
2026,Cuddalore,district,5418,0,5418,14171,5418,308,83,0,0,0,0,0,0,5723,2640,19589
2026,Dharmapuri,district,5704,0,5704,19719,4682,289,1631,10,0,0,0,0,0,2849,10258,25422
2026,Dindigul,district,12370,0,12370,48223,17337,5909,3337,15,25,18,2,42,1,3263,18275,60594
2026,Erode,district,7504,0,7504,15151,2262,2006,948,2,0,0,0,0,0,3192,6743,22656
2026,Kallakurichi,district,5140,0,5140,19606,2061,1921,1516,4,14,8,0,16,2,3986,10078,24747
2026,Kanchipuram,district,3123,0,3123,22521,4079,1135,3367,0,0,0,0,0,0,2405,11536,25644
2026,Kanyakumari,district,7561,0,7561,40437,7561,8736,4634,123,28,0,0,0,0,1212,18144,47999
2026,Karur,district,4207,0,4207,13346,1572,253,1161,2,37,0,0,0,11,2766,7544,17553
2026,Krishnagiri,district,5833,0,5833,22233,2999,1832,5885,0,0,0,0,0,0,4917,6601,28066
2026,Madurai,district,23498,0,23498,65275,8203,7171,9842,42,39,2,0,2,47,6356,33570,88773
2026,Mayiladuthurai,district,1713,0,1713,19306,6311,1565,1698,8,5,7,0,7,3,2385,7318,21019
2026,Nagapattinam,district,2019,0,2019,10335,656,1096,822,5,0,0,0,0,0,2521,5236,12354
2026,Namakkal,district,6086,0,6086,13403,1862,1856,2196,2,51,0,0,0,0,2729,4707,19489
2026,Nilgiris,district,2523,0,2523,6909,525,658,557,0,0,0,0,0,0,1924,3244,9431
2026,Perambalur,district,572,0,572,6147,997,86,628,4,11,0,0,0,16,1285,3120,6719
2026,Pudukottai,district,5216,0,5216,18935,3294,63,1645,8,10,0,0,0,0,2391,11523,24151
2026,Ramnathapuram,district,8066,0,8066,21796,3218,4904,261,9,23,14,0,22,0,2859,10486,29863
2026,Ranipet,district,876,0,876,13678,2454,998,1719,0,0,0,0,0,0,1734,6773,14554
2026,Salem,district,7112,0,7112,20135,3764,988,2209,7,0,0,0,0,0,5262,7905,27247
2026,Sivagangai,district,3383,0,3383,16622,4298,2128,312,25,21,15,0,22,0,1964,7836,20004
2026,Tenkasi,district,3695,0,3695,21614,2648,1846,2183,21,0,0,0,0,0,1434,13482,25309
2026,Thanjavur,district,10537,0,10537,31549,6916,2113,2890,28,32,30,5,43,0,6816,12676,42086
2026,Theni,district,5640,0,5640,22989,2606,3102,1849,18,20,1,0,29,0,3496,11868,28629
2026,Thirunelveli,district,4636,0,4636,25559,3654,1152,2023,28,0,0,0,0,7,2005,16690,30195
2026,Thiruvallur,district,4028,0,4028,27601,2529,1797,6040,1,12,12,0,21,1,4065,13124,31629
2026,Thiruvannamalai,district,7851,0,7851,30267,3932,2492,3425,3,0,0,0,0,0,4534,15881,38118
2026,Thiruvarur,district,3781,0,3781,20272,3622,1239,2773,0,24,9,0,25,0,3823,8759,24053
2026,Thoothukudi,district,10122,0,10122,33458,3627,2029,2747,42,4,4,0,0,0,2764,22240,43579
2026,Tiruppattur,district,4971,0,4971,14462,860,2471,1062,4,0,0,0,1,0,3404,6660,19433
2026,Tiruppur,district,146,0,146,16567,2592,1338,1515,7,0,0,0,0,9,3062,8044,16712
2026,Trichy,district,10632,0,10632,11801,2740,1732,1799,20,0,0,0,0,0,2929,2581,22433
2026,Vellore,district,6720,0,6720,24366,5165,1723,2594,0,14,12,1,29,2,3074,11753,31087
2026,Villupuram,district,7059,0,7059,36098,4061,2482,498,1,0,0,0,0,0,8469,20588,43157
2026,Virudhunagar,district,9532,0,9532,25782,5676,2037,605,63,31,25,0,23,0,3404,13917,35314
2026,Cyber Cell,special_unit,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2026,Other Units,special_unit,0,0,0,210,10,0,0,0,0,0,0,0,0,200,0,210
2026,Railway Chennai,special_unit,0,0,0,16273,2383,0,8199,0,0,0,0,0,0,131,5559,16273
2026,Railway Trichy,special_unit,0,0,0,843,264,0,479,0,0,0,0,0,0,39,61,843
