target,target_label,model_name,rows,feature_count,official_label_max_year,training_years,official_filter,cv_mae,cv_rmse,cv_r2,test_mae,test_rmse,test_r2,temporal_mae,temporal_rmse,temporal_r2,is_best,model_path
complaints_rate_of_cognizable_crime_ipc_sll,Cognizable crime rate (IPC+SLL),gradient_boosting_log,49,42,2023,[2022],True,203.99816190124847,362.81266978991357,0.2863879897330096,92.38636077912733,121.26602237012335,0.7475436898772932,,,,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\complaints_rate_of_cognizable_crime_ipc_sll_gradient_boosting_log.joblib
complaints_rate_of_cognizable_crime_ipc_sll,Cognizable crime rate (IPC+SLL),random_forest_log,49,42,2023,2022,True,241.93020067406727,426.79300935512197,0.012511933562460276,153.98874713385175,191.04812912372762,0.3733954509889629,,,,False,
complaints_rate_of_cognizable_crime_ipc_sll,Cognizable crime rate (IPC+SLL),dummy_median,49,42,2023,2022,True,251.80612244897958,440.19438030145227,-0.05047627699869639,157.62000000000003,250.82192089209428,-0.08003777187522809,,,,False,
complaints_rate_of_cognizable_crime_ipc_sll,Cognizable crime rate (IPC+SLL),ridge_log,49,42,2023,2022,True,5136.561160257233,32924.85989871023,-5875.857127089542,189.37199076410283,222.64611985421988,0.14898301704014516,,,,False,
complaints_total_complaints,Total complaints,gradient_boosting_log,99,39,2023,"[2022, 2023]",True,9836.549455064727,24900.60880974824,0.5999979608146122,3988.07805018276,7150.151975340426,0.8813399656954293,44760.4419614919,62541.12123689722,-0.8660669906665066,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\complaints_total_complaints_gradient_boosting_log.joblib
complaints_total_complaints,Total complaints,random_forest_log,99,39,2023,"2022,2023",True,10437.73326780278,28693.56506700747,0.4688572028905753,4108.490719797875,6378.69162940662,0.9055640967845389,45354.76797421156,63304.65223870599,-0.9119087434183917,False,
complaints_total_complaints,Total complaints,ridge_log,99,39,2023,"2022,2023",True,15075.107535624249,48224.53169443815,-0.5003007006962354,3488.482201752722,4837.844836278268,0.9456777444381571,45145.76700810785,63503.25602585973,-0.923923909246466,False,
complaints_total_complaints,Total complaints,dummy_median,99,39,2023,"2022,2023",True,24740.015151515152,42928.25471700404,-0.18885458961135937,17342.9,20765.843375601195,-0.0008593994851486819,44888.38,63388.653911721456,-0.9169860981875493,False,
murder_homicide_murder_incidence,Murder incidence,gradient_boosting_log,99,51,2023,"[2022, 2023]",True,9.536813868528498,12.734973843958425,0.6225966286884832,7.817245539509399,9.865950949840151,0.7038075384906868,11.520509675886036,15.200584799958634,0.4375906609341218,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\murder_homicide_murder_incidence_gradient_boosting_log.joblib
murder_homicide_murder_incidence,Murder incidence,random_forest_log,99,51,2023,"2022,2023",True,10.01611183593373,13.918638950858998,0.5491799741994354,8.210010032584842,11.089634952927943,0.625776895149672,12.527945140250607,16.054078318085026,0.37266042513548536,False,
murder_homicide_murder_incidence,Murder incidence,dummy_median,99,51,2023,"2022,2023",True,16.116161616161616,20.904242960159397,-0.016900707357448086,14.25,18.399728258862954,-0.030193760412625448,15.78,20.27856010667424,-0.0009356540669798186,False,
murder_homicide_murder_incidence,Murder incidence,ridge_log,99,51,2023,"2022,2023",True,18.791063991988523,36.11148423979195,-2.0345922106395364,12.03058489077168,20.150909710355347,-0.23562137117220394,275.014162546988,1499.3074183000804,-5470.587015754361,False,
murder_homicide_murder_rate,Murder rate,gradient_boosting_log,91,51,2023,"[2022, 2023]",True,0.709874929227463,1.2215557767012535,0.6615606109976875,0.7606005706241404,1.4321033029224408,0.7716138956267714,0.7348674684062233,1.3836444735437046,0.5020303655625313,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\murder_homicide_murder_rate_gradient_boosting_log.joblib
murder_homicide_murder_rate,Murder rate,random_forest_log,91,51,2023,"2022,2023",True,0.8216365473201664,1.638858789207562,0.3908315982815347,0.9473130125153033,2.2436846869477485,0.4394109223967494,0.8181958589615966,1.7236828279964196,0.22719745201314334,False,
murder_homicide_murder_rate,Murder rate,ridge_log,91,51,2023,"2022,2023",True,0.9381088375466876,1.521988655757993,0.4746156530117135,0.925899674682795,1.7583222899831605,0.6557151223277078,1.001908559926896,1.7916422792333189,0.16505774595281886,False,
murder_homicide_murder_rate,Murder rate,dummy_median,91,51,2023,"2022,2023",True,1.0571428571428574,2.1802308578236835,-0.07810053846195997,1.2315789473684209,3.0625067132042423,-0.04441976679622428,0.9999999999999999,2.033523393350652,-0.07560343598342012,False,
women_crimes_rape_r,Rape rate,gradient_boosting_log,91,38,2023,"2022,2023",True,0.5015301935403604,0.6517873911585611,0.42374876200563827,0.5176495441575114,0.7034810655801931,0.525059269788458,0.4715388922706505,0.5896684918672102,0.4241679737995723,False,
women_crimes_rape_r,Rape rate,random_forest_log,91,38,2023,"2022,2023",True,0.5144815283406531,0.6986282303977914,0.337947814714469,0.5321822560087235,0.7464961174148044,0.46520209579207983,0.53095381913771,0.6846690246175912,0.22367900585337908,False,
women_crimes_rape_r,Rape rate,ridge_log,91,38,2023,"[2022, 2023]",True,0.5439570342205828,0.6863062364723548,0.36109563894295116,0.4355062553927459,0.5247803430533069,0.7357045367601343,0.3918193722698035,0.5136497929955924,0.5630676451563864,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\women_crimes_rape_r_ridge_log.joblib
women_crimes_rape_r,Rape rate,dummy_median,91,38,2023,"2022,2023",True,0.6054945054945055,0.8932592501128034,-0.08231831166788961,0.6894736842105263,1.02469507659596,-0.007682900893237088,0.5347826086956522,0.7846350577899533,-0.01956610211940002,False,
women_crimes_rape_sec_376_i,Rape incidents,random_forest_log,99,38,2023,"[2022, 2023]",True,3.262018679503813,4.85112973554016,0.3498747431424486,3.380501478086051,4.953913958581524,0.3390003768357992,3.152283567743516,3.682923308742594,0.356855187383618,True,C:\Users\ya allah\python_visual_code\machine_learning\CRIMECAST\models\women_crimes_rape_sec_376_i_random_forest_log.joblib
women_crimes_rape_sec_376_i,Rape incidents,gradient_boosting_log,99,38,2023,"2022,2023",True,3.425580216845075,5.203460278467686,0.25201007689029387,3.5467366990477656,5.067475515678453,0.30834804115546166,5.559827329164038,6.364494193439393,-0.9206631739366407,False,
women_crimes_rape_sec_376_i,Rape incidents,dummy_median,99,38,2023,"2022,2023",True,4.424242424242424,6.038596398555418,-0.007356671740233578,4.45,6.0950799830683104,-0.0006060197966466507,3.74,4.602173399601541,-0.004267425320056972,False,
women_crimes_rape_sec_376_i,Rape incidents,ridge_log,99,38,2023,"2022,2023",True,4.633025774984904,7.895420325659833,-0.7221134968903957,2.749760052974753,4.417295628592491,0.4744461471851774,58.88069118035592,323.2065122394561,-4952.174469131992,False,
