district,year,volume
Chennai,2024,35
Chennai,2025,25
Madurai,2024,9
Coimbatore,2024,8
Tiruchirappalli,2024,7
Namakkal,2024,5
Salem,2024,6
Pollachi,2024,4
Madurai,2025,6
Coimbatore,2025,5
Chennai,2024,32
Ariyalur,2024,3
